w,TimeA
1,0.950952
2,0.94708
3,0.950408
4,0.946229
5,0.947561
6,0.944106
7,0.949144
8,0.965883
9,0.946292
10,0.950645
11,0.945165
12,0.945984
13,0.950072
14,0.945092
15,0.945282
16,0.943687
17,0.945074
18,0.945484
19,0.945049
20,0.947457
21,0.946106
22,0.944065
23,0.947064
24,0.95255
25,0.942908
26,0.947453
27,0.942381
28,0.94292
29,0.950492
30,0.940572
31,0.945544
32,0.94646
33,0.939926
34,0.942569
35,0.943856
36,0.943095
37,0.941538
38,0.946014
39,0.942193
40,0.942845
41,0.944674
42,0.942662
43,0.945809
44,0.944466
45,0.951072
46,0.949723
47,0.944557
48,0.942516
49,0.945929
50,0.944707
51,0.940858
52,0.945387
53,0.956501
54,0.940839
55,0.942048
56,0.944985
57,0.94116
58,0.942853
59,0.950124
60,0.945362
61,0.941308
62,0.952691
63,0.944257
64,0.946314
65,0.947498
66,0.944
67,0.944236
68,0.945087
69,0.985759
70,0.944041
71,0.942971
72,0.944395
73,0.947411
74,0.944021
75,0.948756
76,0.94608
77,0.945218
78,0.947239
79,0.999914
80,0.944926
81,0.943246
82,0.944306
83,0.950925
84,0.944068
85,0.947405
86,0.949459
87,0.950984
88,0.949553
89,0.947979
90,0.946468
91,0.945472
92,0.9517
93,0.97165
94,0.949634
95,0.946085
96,0.956574
97,0.952623
98,0.944423
99,0.944014
100,0.945041
