n,TimeB
1,3.6e-06
10001,0.006434
20001,0.013234
30001,0.0230473
40001,0.0288586
50001,0.039393
60001,0.0440546
70001,0.0520072
80001,0.0603012
90001,0.0689791
100001,0.0754333
110001,0.0843232
120001,0.0931863
130001,0.100593
140001,0.109058
150001,0.117184
160001,0.12573
170001,0.141879
180001,0.143634
190001,0.151355
200001,0.159974
210001,0.168977
220001,0.178165
230001,0.185515
240001,0.19479
250001,0.202803
260001,0.212408
270001,0.220316
280001,0.231077
290001,0.241185
300001,0.246432
310001,0.256549
320001,0.270227
330001,0.275837
340001,0.28401
350001,0.291759
360001,0.303054
370001,0.309966
380001,0.319921
390001,0.329103
400001,0.338422
410001,0.347548
420001,0.355752
430001,0.364828
440001,0.375162
450001,0.387842
460001,0.401116
470001,0.403067
480001,0.436776
490001,0.462033
500001,0.432594
510001,0.439099
520001,0.458659
530001,0.458462
540001,0.469088
550001,0.476332
560001,0.488841
570001,0.494193
580001,0.509132
590001,0.515419
600001,0.533009
610001,0.529627
620001,0.560615
630001,0.550871
640001,0.558229
650001,0.568627
660001,0.577003
670001,0.589006
680001,0.601323
690001,0.607437
700001,0.614982
710001,0.624692
720001,0.632267
730001,0.646513
740001,0.654505
750001,0.662062
760001,0.677838
770001,0.690102
780001,0.688859
790001,0.700344
800001,0.710391
810001,0.717993
820001,0.728148
830001,0.736967
840001,0.754393
850001,0.758833
860001,0.768187
870001,0.774494
880001,0.783372
890001,0.797328
900001,0.804213
910001,0.814026
920001,0.848777
930001,0.835786
940001,0.843483
950001,0.859414
960001,0.85657
970001,0.87672
980001,0.882145
990001,0.8921
